gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,grade,math_status,lunch_short,score_spread,rank_dense,rank_average,rank_first,gender_num,race_num,edu_type,lunch_num,prep_num
female,group b,bachelor's degree,standard,none,72,72,74,72.66666666666667,C,pass,standard,2,76.0,383.5,379.0,f,b,degree,standard,none
female,group c,some college,standard,completed,69,90,88,82.33333333333333,B,pass,standard,21,47.0,160.0,155.0,f,c,college,standard,comp
female,group b,master's degree,standard,none,90,95,93,92.66666666666667,A,pass,standard,5,16.0,32.0,31.0,f,b,degree,standard,none
male,group a,associate's degree,free/reduced,none,47,57,44,49.333333333333336,F,fail,free,13,146.0,902.5,901.0,m,a,degree,free,none
male,group c,some college,standard,none,76,78,75,76.33333333333333,C,pass,standard,3,65.0,284.5,282.0,m,c,college,standard,none
female,group b,associate's degree,standard,none,71,83,78,77.33333333333333,C,pass,standard,12,62.0,261.5,255.0,f,b,degree,standard,none
female,group b,some college,standard,completed,88,95,92,91.66666666666667,A,pass,standard,7,19.0,39.5,37.0,f,b,college,standard,comp
male,group b,some college,free/reduced,none,40,43,39,40.666666666666664,F,fail,free,4,170.0,967.5,967.0,m,b,college,free,none
male,group d,high school,free/reduced,completed,64,64,67,65.0,D,pass,free,3,99.0,597.0,593.0,m,d,school,free,comp
female,group b,high school,free/reduced,none,38,60,50,49.333333333333336,F,fail,free,22,146.0,902.5,902.0,f,b,school,free,none
male,group c,associate's degree,standard,none,58,54,52,54.666666666666664,F,fail,standard,6,130.0,814.0,810.0,m,c,degree,standard,none
male,group d,associate's degree,standard,none,40,52,43,45.0,F,fail,standard,12,159.0,945.5,945.0,m,d,degree,standard,none
female,group b,high school,standard,none,65,81,73,73.0,C,pass,standard,16,75.0,372.5,367.0,f,b,school,standard,none
male,group a,some college,standard,completed,78,72,70,73.33333333333333,C,pass,standard,8,74.0,361.0,356.0,m,a,college,standard,comp
female,group a,master's degree,standard,none,50,53,58,53.666666666666664,F,fail,standard,8,133.0,833.0,830.0,f,a,degree,standard,none
female,group c,some high school,standard,none,69,75,78,74.0,C,pass,standard,9,72.0,347.5,345.0,f,c,school,standard,none
male,group c,high school,standard,none,88,89,86,87.66666666666667,B,pass,standard,3,31.0,76.5,76.0,m,c,school,standard,none
female,group b,some high school,free/reduced,none,18,32,28,26.0,F,fail,free,14,190.0,995.5,995.0,f,b,school,free,none
male,group c,master's degree,free/reduced,completed,46,42,46,44.666666666666664,F,fail,free,4,160.0,948.5,947.0,m,c,degree,free,comp
female,group c,associate's degree,free/reduced,none,54,58,61,57.666666666666664,F,fail,free,7,121.0,759.5,756.0,f,c,degree,free,none
male,group d,high school,standard,none,66,69,63,66.0,D,pass,standard,6,96.0,568.5,562.0,m,d,school,standard,none
female,group b,some college,free/reduced,completed,65,75,70,70.0,D,pass,free,10,84.0,453.5,448.0,f,b,college,free,comp
male,group d,some college,standard,none,44,54,53,50.333333333333336,F,fail,standard,10,143.0,887.5,884.0,m,d,college,standard,none
female,group c,some high school,standard,none,69,73,73,71.66666666666667,C,pass,standard,4,79.0,407.5,404.0,f,c,school,standard,none
male,group d,bachelor's degree,free/reduced,completed,74,71,80,75.0,C,pass,free,9,69.0,319.0,314.0,m,d,degree,free,comp
male,group a,master's degree,free/reduced,none,73,74,72,73.0,C,pass,free,2,75.0,372.5,368.0,m,a,degree,free,none
male,group b,some college,standard,none,69,54,55,59.333333333333336,F,pass,standard,15,116.0,723.5,721.0,m,b,college,standard,none
female,group c,bachelor's degree,standard,none,67,69,75,70.33333333333333,C,pass,standard,8,83.0,443.5,440.0,f,c,degree,standard,none
male,group c,high school,standard,none,70,70,65,68.33333333333333,D,pass,standard,5,89.0,505.0,499.0,m,c,school,standard,none
female,group d,master's degree,standard,none,62,70,75,69.0,D,pass,standard,13,87.0,480.5,475.0,f,d,degree,standard,none
female,group d,some college,standard,none,69,74,74,72.33333333333333,C,pass,standard,5,77.0,391.5,389.0,f,d,college,standard,none
female,group b,some college,standard,none,63,65,61,63.0,D,pass,standard,4,105.0,649.0,646.0,f,b,college,standard,none
female,group e,master's degree,free/reduced,none,56,72,65,64.33333333333333,D,fail,free,16,101.0,617.5,613.0,f,e,degree,free,none
male,group d,some college,standard,none,40,42,38,40.0,F,fail,standard,4,171.0,969.5,969.0,m,d,college,standard,none
male,group e,some college,standard,none,97,87,82,88.66666666666667,B,pass,standard,15,28.0,66.0,64.0,m,e,college,standard,none
